Student ID,Math Score,Science Score,English Score,Social Studies Score,Interest,Logical Aptitude,Verbal Aptitude,Quantitative Aptitude,Career Interest,Recommended Stream
188,98,60,64,50,Commerce,97,64,95,Economist,Commerce
189,63,97,62,76,Arts,85,74,62,Journalist,Commerce
190,96,80,54,62,Arts,100,60,66,Artist,Science
191,88,100,55,72,Science,70,97,60,Engineer,Science
192,76,70,58,54,Arts,80,92,71,Artist,Arts
193,82,70,65,88,Commerce,69,85,99,Economist,Arts
194,95,92,85,51,Science,74,71,63,Engineer,Science
195,99,96,53,92,Arts,84,62,67,Designer,Science
196,53,63,75,52,Arts,99,86,71,Artist,Arts
197,87,86,86,65,Arts,71,82,82,Artist,Science
198,85,95,69,92,Science,66,67,75,Doctor,Science
199,76,83,56,71,Commerce,98,82,96,Banker,Arts
200,60,54,81,65,Science,98,71,75,Architect,Commerce
201,92,54,70,96,Arts,66,65,73,Artist,Arts
202,80,56,70,60,Arts,73,79,73,Journalist,Commerce
203,96,99,83,57,Arts,93,67,86,Designer,Science
204,73,68,50,89,Commerce,70,81,81,Economist,Arts
205,90,69,75,52,Arts,62,95,71,Designer,Arts
206,98,89,68,83,Commerce,66,93,96,Banker,Science
207,76,98,57,62,Commerce,64,84,62,Entrepreneur,Arts
208,92,82,64,61,Commerce,69,79,82,Banker,Science
209,67,72,71,64,Science,63,61,75,Engineer,Commerce
210,54,79,81,53,Science,63,69,62,Architect,Commerce
211,68,58,53,97,Commerce,96,98,95,Banker,Arts
212,92,67,91,97,Arts,80,78,96,Writer,Arts
213,50,51,75,71,Commerce,83,65,74,Economist,Commerce
214,73,90,67,69,Commerce,79,94,100,Accountant,Arts
215,63,67,85,87,Science,61,71,65,Architect,Arts
216,95,69,77,61,Science,73,77,95,Doctor,Commerce
217,81,77,81,90,Science,67,78,79,Scientist,Arts
218,98,51,78,81,Arts,73,82,61,Artist,Arts
219,70,97,66,67,Arts,65,65,75,Writer,Commerce
220,68,60,69,97,Arts,78,60,92,Writer,Arts
221,81,52,79,75,Commerce,65,85,72,Accountant,Arts
222,53,85,75,76,Commerce,80,99,83,Entrepreneur,Arts
223,58,53,98,50,Science,85,88,62,Engineer,Arts
224,85,59,75,50,Commerce,62,79,64,Entrepreneur,Commerce
225,55,81,78,74,Commerce,81,60,85,Entrepreneur,Commerce
226,95,75,96,74,Science,72,65,95,Scientist,Commerce
227,71,70,90,87,Commerce,91,71,73,Entrepreneur,Arts
228,96,63,75,71,Science,75,75,82,Scientist,Commerce
229,80,95,57,64,Arts,92,84,80,Artist,Science
230,61,79,96,76,Commerce,86,68,95,Accountant,Commerce
231,70,97,82,86,Arts,86,74,71,Designer,Arts
232,70,59,92,78,Science,87,87,98,Engineer,Arts
233,72,97,60,97,Science,69,68,77,Scientist,Arts
234,59,85,71,76,Science,80,67,90,Doctor,Commerce
235,57,77,60,86,Commerce,94,97,74,Entrepreneur,Arts
236,79,71,84,85,Science,78,70,74,Engineer,Arts
237,79,95,80,95,Science,85,83,97,Architect,Arts
238,78,90,94,64,Science,86,67,73,Doctor,Commerce
239,77,51,93,86,Commerce,69,89,94,Entrepreneur,Arts
240,80,98,77,56,Arts,62,82,99,Artist,Science
241,71,52,91,83,Commerce,72,79,60,Entrepreneur,Arts
242,56,56,84,68,Arts,60,67,94,Journalist,Commerce
243,82,91,95,83,Commerce,99,65,96,Banker,Science
244,93,76,56,93,Science,73,68,63,Architect,Arts
245,66,68,98,54,Science,73,93,66,Doctor,Arts
246,89,86,70,100,Science,63,62,67,Scientist,Science
247,88,85,59,87,Commerce,88,65,77,Economist,Science
248,90,81,65,69,Science,90,67,79,Architect,Science
249,58,73,98,79,Science,75,86,81,Engineer,Arts
250,79,56,81,64,Commerce,63,80,86,Entrepreneur,Arts
251,99,85,94,83,Science,100,82,60,Doctor,Science
252,67,60,84,99,Commerce,80,64,91,Accountant,Arts
253,72,50,86,96,Commerce,67,73,99,Economist,Arts
254,75,85,64,99,Science,77,88,64,Doctor,Arts
255,81,66,86,94,Commerce,79,83,93,Entrepreneur,Arts
256,90,91,82,83,Arts,98,69,64,Writer,Science
257,78,98,66,61,Science,78,67,71,Engineer,Commerce
258,99,99,54,84,Arts,64,78,71,Writer,Science
259,64,75,92,74,Commerce,98,74,62,Economist,Commerce
260,68,66,92,97,Science,71,87,76,Architect,Arts
261,50,91,54,77,Arts,63,63,98,Writer,Commerce
262,85,71,89,60,Arts,81,72,63,Designer,Commerce
263,91,52,50,74,Science,80,79,77,Scientist,Commerce
264,80,85,98,86,Arts,93,78,100,Designer,Science
265,97,74,68,84,Arts,63,68,94,Designer,Arts
266,83,99,64,80,Arts,85,70,61,Artist,Science
267,69,93,62,67,Commerce,100,64,82,Banker,Commerce
268,77,76,82,73,Commerce,62,81,86,Entrepreneur,Arts
269,64,97,74,56,Arts,77,75,89,Writer,Commerce
270,82,81,98,94,Science,89,92,68,Architect,Science
271,54,95,58,93,Commerce,85,82,68,Accountant,Arts
272,72,65,71,56,Commerce,97,80,97,Entrepreneur,Arts
273,52,89,57,55,Science,67,65,93,Doctor,Commerce
274,80,74,62,91,Commerce,77,84,89,Entrepreneur,Arts
275,84,53,51,51,Science,64,63,66,Engineer,Commerce
276,100,72,88,56,Arts,96,61,78,Journalist,Commerce
277,60,60,58,58,Science,96,78,74,Doctor,Commerce
278,56,71,79,64,Science,63,71,97,Doctor,Commerce
279,95,95,100,84,Arts,76,69,92,Designer,Science
280,100,59,68,63,Commerce,67,88,98,Banker,Arts
281,63,89,65,72,Science,95,73,80,Scientist,Commerce
282,82,79,92,56,Commerce,70,85,84,Banker,Arts
283,76,76,59,91,Commerce,69,74,73,Accountant,Arts
284,56,89,72,95,Arts,86,64,84,Journalist,Arts
285,51,66,79,57,Arts,60,93,93,Designer,Arts
286,53,80,67,78,Commerce,88,71,86,Economist,Commerce
287,57,94,91,78,Science,91,80,87,Scientist,Arts
288,83,64,88,88,Commerce,97,84,97,Accountant,Arts
289,65,98,96,95,Science,85,70,78,Scientist,Arts
290,81,94,60,56,Science,89,95,65,Engineer,Science
291,94,76,58,92,Arts,72,86,61,Journalist,Arts
292,59,80,56,51,Arts,79,79,85,Journalist,Commerce
293,82,50,51,57,Science,91,65,97,Scientist,Commerce
294,55,81,94,97,Arts,73,97,91,Designer,Arts
295,79,79,97,66,Commerce,89,62,87,Entrepreneur,Commerce
296,79,66,86,87,Science,85,67,92,Doctor,Arts
297,100,88,50,71,Commerce,67,64,67,Banker,Science
298,88,94,65,62,Commerce,62,84,62,Economist,Science
299,54,61,100,85,Commerce,77,69,66,Economist,Arts
300,69,87,78,61,Commerce,87,75,92,Entrepreneur,Commerce
301,92,99,77,92,Arts,89,88,96,Writer,Science
302,50,64,81,53,Commerce,75,68,88,Banker,Commerce
303,58,61,60,75,Commerce,75,72,81,Banker,Commerce
304,51,51,81,76,Commerce,63,88,95,Accountant,Arts
305,58,74,84,66,Commerce,84,67,89,Economist,Commerce
306,97,76,88,77,Commerce,85,67,86,Accountant,Commerce
307,58,85,83,82,Science,69,61,90,Doctor,Arts
308,75,57,54,68,Commerce,96,92,89,Entrepreneur,Arts
309,86,63,72,88,Commerce,76,98,66,Accountant,Arts
310,50,84,95,57,Commerce,90,87,86,Entrepreneur,Arts
311,55,95,73,100,Arts,94,79,75,Designer,Arts
312,68,81,90,60,Commerce,72,83,96,Accountant,Arts
313,55,62,56,56,Arts,92,64,84,Designer,Commerce
314,98,89,52,60,Arts,62,89,97,Journalist,Science
315,93,63,83,90,Commerce,65,67,82,Economist,Arts
316,60,58,65,85,Commerce,75,84,88,Entrepreneur,Arts
317,77,51,61,65,Science,84,94,88,Scientist,Arts
318,83,57,90,60,Arts,76,89,68,Journalist,Arts
319,76,64,65,74,Science,62,76,71,Engineer,Commerce
320,74,78,76,67,Arts,69,97,75,Artist,Arts
321,88,53,52,83,Commerce,75,86,86,Banker,Arts
322,63,97,50,81,Arts,64,70,78,Writer,Arts
323,90,85,85,79,Science,73,85,64,Scientist,Science
324,56,90,76,70,Arts,93,80,73,Journalist,Arts
325,72,76,91,83,Science,68,72,78,Architect,Arts
326,63,86,53,77,Science,83,90,82,Scientist,Arts
327,80,73,91,80,Arts,69,99,72,Designer,Arts
328,99,56,73,50,Science,67,61,82,Engineer,Commerce
329,83,67,50,71,Science,71,62,100,Scientist,Commerce
330,66,71,80,80,Arts,60,84,79,Designer,Arts
331,62,99,85,54,Arts,91,99,81,Writer,Arts
332,74,50,96,65,Science,85,88,64,Scientist,Arts
333,60,91,98,85,Arts,77,93,74,Designer,Arts
334,93,83,86,76,Commerce,84,79,72,Economist,Science
335,59,97,75,62,Commerce,80,71,68,Banker,Commerce
336,69,82,73,92,Commerce,99,80,87,Accountant,Arts
337,51,79,59,69,Arts,77,69,90,Designer,Commerce
338,77,81,57,98,Commerce,96,69,65,Economist,Arts
339,92,93,100,95,Science,82,62,96,Architect,Science
340,96,76,61,72,Arts,80,72,83,Writer,Commerce
341,75,72,85,90,Arts,95,60,100,Artist,Arts
342,79,89,75,73,Science,84,98,84,Doctor,Arts
343,50,100,88,75,Science,88,84,86,Engineer,Arts
344,77,83,94,62,Science,87,66,82,Scientist,Commerce
345,70,68,55,87,Science,67,95,100,Scientist,Arts
346,61,64,62,95,Science,97,92,83,Engineer,Arts
347,94,69,54,99,Science,72,93,92,Doctor,Arts
348,79,79,87,66,Commerce,96,63,68,Banker,Commerce
349,61,87,78,58,Arts,94,80,76,Designer,Arts
350,86,54,87,68,Arts,64,96,84,Artist,Arts
351,66,97,88,92,Science,69,93,63,Engineer,Arts
352,74,85,53,52,Commerce,73,64,65,Accountant,Commerce
353,80,84,56,94,Science,65,74,65,Engineer,Science
354,95,52,88,50,Commerce,95,64,99,Economist,Commerce
355,81,70,77,95,Science,94,77,96,Scientist,Arts
356,62,72,71,96,Arts,83,80,86,Designer,Arts
357,63,87,83,58,Commerce,93,78,67,Accountant,Commerce
358,92,62,51,51,Arts,87,69,76,Writer,Commerce
359,55,78,100,72,Science,84,60,81,Engineer,Commerce
360,73,61,77,84,Arts,97,90,96,Writer,Arts
361,65,84,64,60,Commerce,63,100,64,Entrepreneur,Arts
362,94,69,60,83,Arts,87,75,72,Artist,Arts
363,91,83,92,94,Arts,93,92,95,Writer,Science
364,100,85,84,56,Arts,99,93,96,Writer,Science
365,57,51,84,78,Science,63,69,100,Engineer,Commerce
366,92,91,66,52,Arts,95,69,69,Artist,Science
367,88,97,99,89,Arts,71,90,72,Writer,Science
368,79,53,91,53,Commerce,94,70,98,Entrepreneur,Commerce
369,81,72,68,81,Commerce,86,62,88,Accountant,Arts
370,79,97,91,71,Arts,64,92,73,Journalist,Arts
371,90,66,65,74,Commerce,99,87,73,Banker,Arts
372,71,61,98,74,Commerce,90,90,61,Accountant,Arts
373,75,71,81,72,Arts,69,78,77,Writer,Commerce
374,51,62,54,51,Commerce,92,96,71,Entrepreneur,Arts
375,59,76,52,62,Commerce,88,89,95,Accountant,Arts
376,83,80,81,69,Science,98,63,78,Scientist,Science
377,73,94,85,65,Commerce,65,73,77,Economist,Commerce
378,83,95,65,60,Arts,93,85,90,Writer,Science
379,65,75,92,96,Commerce,79,98,69,Entrepreneur,Arts
380,55,52,55,85,Commerce,62,68,88,Accountant,Arts
381,61,90,81,72,Arts,79,96,100,Designer,Arts
382,91,56,98,55,Science,89,75,78,Scientist,Commerce
383,93,63,53,60,Science,81,97,61,Scientist,Arts
384,69,93,88,61,Arts,94,84,75,Writer,Arts
385,70,98,71,99,Commerce,84,93,83,Entrepreneur,Arts
386,98,53,57,91,Arts,68,67,61,Artist,Arts
387,73,59,61,54,Commerce,92,80,78,Accountant,Arts
388,84,62,72,51,Commerce,100,95,74,Entrepreneur,Arts
389,77,94,100,66,Commerce,97,81,90,Entrepreneur,Arts
390,65,64,61,85,Science,90,98,69,Engineer,Arts
391,83,55,96,65,Arts,63,61,84,Writer,Commerce
392,96,77,88,55,Commerce,72,79,92,Accountant,Commerce
393,89,75,74,66,Arts,60,73,71,Writer,Commerce
394,92,95,68,78,Arts,99,91,94,Designer,Science
395,100,56,88,71,Arts,92,82,88,Artist,Arts
396,71,63,98,57,Arts,91,89,95,Writer,Arts
397,78,91,96,55,Arts,67,88,79,Journalist,Arts
398,78,82,68,63,Arts,87,78,62,Designer,Commerce
399,60,55,96,89,Arts,71,66,70,Designer,Arts
400,56,80,70,83,Commerce,62,79,90,Accountant,Arts
401,72,64,51,86,Commerce,88,87,99,Entrepreneur,Arts
402,69,83,69,83,Arts,98,76,95,Artist,Arts
403,94,95,97,61,Arts,88,99,74,Writer,Science
404,57,56,76,94,Science,82,96,70,Engineer,Arts
405,95,88,86,85,Commerce,93,91,83,Economist,Science
406,91,96,75,95,Science,69,75,95,Engineer,Science
407,86,100,56,56,Science,70,94,82,Scientist,Science
408,90,56,80,70,Commerce,91,67,93,Accountant,Commerce
409,90,94,85,58,Science,62,97,82,Doctor,Science
410,80,81,70,73,Commerce,95,81,79,Accountant,Science
411,100,97,61,84,Science,70,81,80,Engineer,Science
412,76,54,58,70,Arts,86,61,97,Writer,Commerce
413,62,62,54,84,Arts,78,65,77,Writer,Arts
414,76,85,55,62,Arts,94,98,92,Designer,Arts
415,66,52,72,51,Commerce,65,89,82,Banker,Arts
416,92,65,72,78,Science,75,91,70,Doctor,Arts
417,78,81,90,63,Arts,60,80,76,Designer,Arts
418,65,76,53,91,Arts,67,75,74,Artist,Arts
419,90,55,100,98,Arts,81,75,81,Designer,Arts
420,91,96,84,88,Science,79,91,83,Architect,Science
421,59,90,83,61,Science,61,68,91,Scientist,Commerce
422,88,81,99,98,Arts,78,96,64,Journalist,Science
423,87,80,60,66,Arts,72,96,63,Designer,Science
424,96,80,59,100,Science,68,69,75,Doctor,Science
425,54,95,77,96,Arts,80,90,66,Writer,Arts
426,82,66,82,85,Commerce,62,90,79,Banker,Arts
427,59,55,51,74,Arts,82,64,97,Designer,Commerce
428,83,62,81,68,Arts,70,88,85,Journalist,Arts
429,76,92,99,79,Commerce,79,92,90,Entrepreneur,Arts
430,99,69,68,58,Science,89,67,64,Scientist,Commerce
431,95,64,57,82,Commerce,99,90,88,Economist,Arts
432,66,94,94,83,Arts,91,82,66,Artist,Arts
433,60,64,64,60,Arts,61,67,74,Writer,Commerce
434,80,51,95,91,Arts,91,82,84,Journalist,Arts
435,78,76,54,92,Science,68,85,77,Doctor,Arts
436,72,97,100,54,Commerce,80,83,84,Banker,Arts
437,73,83,100,63,Science,85,96,63,Architect,Arts
438,80,67,92,89,Arts,70,96,63,Writer,Arts
439,99,50,68,98,Arts,92,91,62,Writer,Arts
440,86,92,68,92,Arts,100,88,95,Writer,Science
441,63,67,96,59,Commerce,92,74,83,Entrepreneur,Commerce
442,50,53,80,74,Arts,91,74,72,Writer,Commerce
443,52,56,84,58,Arts,63,90,70,Artist,Arts
444,69,67,66,51,Commerce,94,81,70,Economist,Arts
445,62,98,58,92,Science,95,77,93,Architect,Arts
446,76,82,53,81,Commerce,72,87,71,Entrepreneur,Arts
447,92,57,59,54,Science,72,83,66,Scientist,Arts
448,70,74,100,55,Commerce,93,89,81,Accountant,Arts
449,96,93,70,62,Science,64,67,79,Scientist,Science
450,89,55,84,57,Commerce,80,100,62,Economist,Arts
451,67,98,72,70,Commerce,72,71,97,Entrepreneur,Commerce
452,66,72,53,55,Arts,84,84,94,Artist,Arts
453,68,83,76,52,Science,75,82,85,Architect,Arts
454,78,99,72,72,Commerce,70,85,83,Banker,Arts
455,80,51,76,75,Science,72,84,94,Scientist,Arts
456,91,51,69,66,Arts,93,74,88,Journalist,Commerce
457,74,73,100,75,Science,92,97,89,Scientist,Arts
458,59,59,79,79,Science,66,77,93,Engineer,Commerce
459,84,62,92,79,Science,95,83,95,Engineer,Arts
460,96,75,56,67,Commerce,86,77,70,Accountant,Commerce
461,77,50,58,99,Arts,99,68,66,Designer,Arts
462,99,90,99,68,Arts,95,68,72,Writer,Science
463,67,96,75,71,Arts,74,75,70,Artist,Commerce
464,90,85,82,97,Science,93,64,75,Architect,Science
465,61,81,53,59,Science,77,84,60,Architect,Arts
466,89,68,71,100,Science,76,70,80,Architect,Arts
467,98,54,65,90,Commerce,92,98,66,Economist,Arts
468,74,58,53,100,Commerce,62,73,99,Accountant,Arts
469,52,71,56,86,Arts,80,60,71,Writer,Arts
470,79,87,56,100,Commerce,93,74,90,Economist,Arts
471,99,59,61,54,Science,68,80,90,Scientist,Arts
472,53,98,87,63,Science,84,76,86,Doctor,Commerce
473,59,79,84,58,Arts,63,75,75,Designer,Commerce
474,64,50,71,78,Commerce,65,79,72,Accountant,Commerce
475,100,53,85,57,Commerce,85,86,76,Economist,Arts
476,52,51,70,65,Commerce,89,65,63,Accountant,Commerce
477,98,83,80,78,Arts,95,84,65,Designer,Science
478,95,92,93,57,Commerce,61,88,85,Entrepreneur,Science
